name,amp,mass,material,library,bounciness
birdhouse_0,0.4,6,wood,models/models.json,0.6
birdhouse_1,0.4,6,wood,models/models.json,0.6
microphone,0.1,1,wood,models/models.json,0.6
stair_ramp,0.6,1000,hardwood,models/models.json,0.6
